&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT   249   50  H    10 00 0  F                 225
DEFANT   251  252  H    10 00 0  F                 660
DEFANT   252  253  H    10 00 0  F                 580
DEFANT   253  257  H    10 00 0  F                 640
DEFANT   257  261  H    09 00 0  F                1285
DEFANT   257  261  H    10 00 0  F                1174
DEFANT   261  267  H    08 00 0  F                 581
DEFANT   261  267  H    09 00 0  F                 580
DEFANT   261  267  H    10 00 0  F                 572
DEFANT   262  241  H    10 00 0  F                  31
DEFANT   267  275  H    08 00 0  F                1026
DEFANT   267  275  H    09 00 0  F                1191
DEFANT   267  275  H    10 00 0  F                1046
DEFANT   280  284  H    10 00 0  F                 279
DEFANT   285  287  H    10 00 0  F                4765
DEFANT   290   34  H    10 00 0  F                  37
DEFANT   311  312  H    10 00 0  F                  48
DEFANT   312  315  H    10 00 0  F                  50
DEFANT   315   34  H    10 00 0  F                  53
DEFANT    66    1  S    10  0 0  F                5914
DEFANT    66    1  S    10  0 1  F                5914
DEFANT    66    1  S    10  1 0  F                6055
DEFANT    66    1  S    10  1 1  F                6055
DEFANT    66    1  S    10  2 0  F                6012
DEFANT    66    1  S    10  2 1  F                6012
DEFANT    66    1  S    10  3 0  F                5989
DEFANT    66    1  S    10  3 1  F                5989
DEFANT    66    1  S    10  4 0  F                6016
DEFANT    66    1  S    10  4 1  F                6016
DEFANT    66    1  S    10  5 0  F                6150
DEFANT    66    1  S    10  5 1  F                6150
DEFANT    66    1  S    10  6 0  F                6252
DEFANT    66    1  S    10  6 1  F                6252
DEFANT    66    1  S    10  7 0  F                6130
DEFANT    66    1  S    10  7 1  F                6129
DEFANT    66    1  S    10  8 0  F                6229
DEFANT    66    1  S    10  8 1  F                6229
DEFANT    66    1  S    10  9 0  F                6138
DEFANT    66    1  S    10  9 1  F                6137
DEFANT    66    1  S    10 10 0  F                6296
DEFANT    66    1  S    10 10 1  F                6296
DEFANT    66    1  S    10 11 0  F                6322
DEFANT    66    1  S    10 11 1  F                6322
DEFANT    66    1  S    10 12 0  F                6237
DEFANT    66    1  S    10 12 1  F                6237
DEFANT    66    1  S    10 13 0  F                6271
DEFANT    66    1  S    10 13 1  F                6271
DEFANT    66    1  S    10 14 0  F                6353
DEFANT    66    1  S    10 14 1  F                6353
DEFANT    66    1  S    10 15 0  F                6392
DEFANT    66    1  S    10 15 1  F                6392
