***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________


 
Relatorio dos subsistemas 
 
  
OBS.:
1) A geracao de Itaipu injetada, no subsistema Sudeste (SE), inclui a geracao para atender a carga da ANDE.
2) Intercambio IV-SE nao corresponde a recebimento do SE pois Itaipu(60hz) ja se encontra no SE.
  
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
      ;        ;      ;    Cmo     ;   Demanda  ;   Perdas   ;   GpQusi   ;  GfixBar   ;  Grenova   ;  SomatGH   ;  SomatGT   ; ConsEleva  ;  Import.   ;  Export.   ; CortCarg.  ;   Saldo    ;Recebimento ; SomaGTMin  ; SomatGTMax ;   Earm     ;
 IPER ;  Pat   ; Sist ;   $/MWH    ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;    MWH     ;
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
  13  ;   LEVE ; NE   ;     119.17 ;   12614.22 ;     -      ;       0.00 ;       0.00 ;   22361.77 ;    2006.14 ;    1603.60 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   13357.29 ;  -13357.29 ;       3.00 ;    5032.53 ;   26401.83 ;
  13  ;   LEVE ; N    ;     236.61 ;    8135.88 ;     -      ;       0.00 ;       0.00 ;     762.00 ;    2035.54 ;    2155.35 ;       0.00 ;       0.00 ;    1597.61 ;       0.00 ;   -4780.60 ;    4780.60 ;    1092.00 ;    3646.55 ;   13418.70 ;
  13  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  14  ;   LEVE ; SE   ;       0.01 ;   37252.15 ;     -      ;       0.00 ;       0.00 ;    9733.00 ;   14125.04 ;    5305.60 ;     107.24 ;    3441.24 ;    2654.17 ;       0.00 ;  -10136.19 ;   10136.19 ;    4621.00 ;   12837.46 ;   99509.56 ;
  14  ;   LEVE ; S    ;       0.00 ;   10545.11 ;     -      ;       0.00 ;       0.00 ;    2822.37 ;    7563.03 ;     961.60 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     801.89 ;    -801.89 ;     930.00 ;    2180.57 ;   19140.47 ;
  14  ;   LEVE ; NE   ;       0.00 ;   12345.01 ;     -      ;       0.00 ;       0.00 ;   22604.95 ;    1628.00 ;    1600.20 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   13488.14 ;  -13488.14 ;       3.00 ;    5032.53 ;   26400.66 ;
  14  ;   LEVE ; N    ;       6.89 ;    7991.91 ;     -      ;       0.00 ;       0.00 ;     913.00 ;    2035.55 ;    1676.59 ;       0.00 ;       0.00 ;     787.07 ;       0.00 ;   -4153.84 ;    4153.84 ;    1092.00 ;    3646.55 ;   13418.70 ;
  14  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  15  ;   LEVE ; SE   ;       0.01 ;   38219.01 ;     -      ;       0.00 ;       0.00 ;   12601.00 ;   14149.91 ;    5205.60 ;     107.24 ;    3892.36 ;    2728.06 ;       0.00 ;   -7932.95 ;    7932.95 ;    4621.00 ;   12837.46 ;   99516.40 ;
  15  ;   LEVE ; S    ;       0.00 ;   11032.94 ;     -      ;       0.00 ;       0.00 ;    3353.00 ;    6919.39 ;     945.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     184.45 ;    -184.45 ;     930.00 ;    2180.57 ;   19120.34 ;
  15  ;   LEVE ; NE   ;       0.00 ;   12300.40 ;     -      ;       0.00 ;       0.00 ;   21090.55 ;    1628.00 ;    1599.20 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   12017.35 ;  -12017.35 ;       3.00 ;    5032.53 ;   26399.50 ;
  15  ;   LEVE ; N    ;       3.12 ;    7966.53 ;     -      ;       0.00 ;       0.00 ;    1174.00 ;    2035.55 ;    1652.43 ;       0.00 ;       0.00 ;    1164.29 ;       0.00 ;   -4268.85 ;    4268.85 ;    1090.00 ;    3630.55 ;   13418.71 ;
  15  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  16  ;   LEVE ; SE   ;       0.01 ;   39154.22 ;     -      ;       0.00 ;       0.00 ;   15007.05 ;   14075.71 ;    5205.60 ;     107.24 ;    3321.30 ;    2702.93 ;       0.00 ;   -7082.24 ;    7082.24 ;    4621.00 ;   12837.46 ;   99520.36 ;
  16  ;   LEVE ; S    ;       0.00 ;   11313.81 ;     -      ;       0.00 ;       0.00 ;    3979.00 ;    6404.81 ;     930.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     930.00 ;    2180.57 ;   19105.82 ;
  16  ;   LEVE ; NE   ;       0.00 ;   12440.25 ;     -      ;       0.00 ;       0.00 ;   19842.34 ;    1628.00 ;    1598.20 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   10628.29 ;  -10628.29 ;       3.00 ;    5032.53 ;   26398.34 ;
  16  ;   LEVE ; N    ;       2.99 ;    8021.42 ;     -      ;       0.00 ;       0.00 ;    1411.00 ;    2035.56 ;    1647.17 ;       0.00 ;       0.00 ;     618.36 ;       0.00 ;   -3546.05 ;    3546.05 ;    1090.00 ;    3630.55 ;   13418.71 ;
  16  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  17  ;   LEVE ; SE   ;       0.00 ;   40163.44 ;     -      ;       0.00 ;       0.00 ;   17139.18 ;   14119.06 ;    5205.60 ;     107.24 ;    3069.43 ;    2669.43 ;       0.00 ;   -6134.34 ;    6134.34 ;    4621.00 ;   12837.46 ;   99524.74 ;
  17  ;   LEVE ; S    ;       0.00 ;   11469.71 ;     -      ;       0.00 ;       0.00 ;    4827.00 ;    5712.71 ;     930.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     930.00 ;    2180.57 ;   19091.07 ;
  17  ;   LEVE ; NE   ;       0.00 ;   12572.49 ;     -      ;       0.00 ;       0.00 ;   18712.01 ;    1628.00 ;    1597.20 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    9364.72 ;   -9364.72 ;       3.00 ;    5032.53 ;   26397.18 ;
  17  ;   LEVE ; N    ;       2.92 ;    8129.55 ;     -      ;       0.00 ;       0.00 ;    1621.00 ;    2035.57 ;    1642.60 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -3230.38 ;    3230.38 ;    1090.00 ;    3628.55 ;   13418.72 ;
  17  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  18  ;   LEVE ; SE   ;       0.00 ;   40917.96 ;     -      ;       0.00 ;       0.00 ;   18745.63 ;   14155.68 ;    5205.60 ;     107.24 ;    3126.30 ;    2726.30 ;       0.00 ;   -5245.78 ;    5245.78 ;    4621.00 ;   12837.46 ;   99528.55 ;
  18  ;   LEVE ; S    ;       0.00 ;   11593.94 ;     -      ;       0.00 ;       0.00 ;    5380.37 ;    5283.57 ;     930.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     930.00 ;    2180.57 ;   19075.30 ;
  18  ;   LEVE ; NE   ;       0.00 ;   12628.11 ;     -      ;       0.00 ;       0.00 ;   17755.76 ;    1628.00 ;    1596.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    8352.34 ;   -8352.34 ;       3.00 ;    5032.53 ;   26396.02 ;
  18  ;   LEVE ; N    ;       2.95 ;    8246.65 ;     -      ;       0.00 ;       0.00 ;    1861.00 ;    2035.58 ;    1643.51 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -3106.56 ;    3106.56 ;    1090.00 ;    3628.55 ;   13418.72 ;
  18  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  19  ;   LEVE ; SE   ;       0.00 ;   41518.10 ;     -      ;       0.00 ;       0.00 ;   20178.32 ;   14109.42 ;    5205.60 ;     107.24 ;    3100.29 ;    2700.29 ;       0.00 ;   -4459.50 ;    4459.50 ;    4621.00 ;   12837.46 ;   99532.19 ;
  19  ;   LEVE ; S    ;       0.00 ;   11459.21 ;     -      ;       0.00 ;       0.00 ;    6063.39 ;    4495.82 ;     900.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     900.00 ;    2180.57 ;   19058.61 ;
  19  ;   LEVE ; NE   ;       0.00 ;   12596.27 ;     -      ;       0.00 ;       0.00 ;   16733.60 ;    1628.00 ;    1596.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    7362.03 ;   -7362.03 ;       3.00 ;    5032.53 ;   26394.86 ;
  19  ;   LEVE ; N    ;       3.07 ;    8305.52 ;     -      ;       0.00 ;       0.00 ;    2118.00 ;    2035.58 ;    1649.41 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2902.53 ;    2902.53 ;    1090.00 ;    3628.55 ;   13418.73 ;
  19  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  20  ;   LEVE ; SE   ;       0.00 ;   42242.67 ;     -      ;       0.00 ;       0.00 ;   21371.96 ;   14135.07 ;    5205.60 ;     107.24 ;    3146.21 ;    2746.21 ;       0.00 ;   -3964.78 ;    3964.78 ;    4621.00 ;   12837.46 ;   99535.50 ;
  20  ;   LEVE ; S    ;       0.00 ;   11494.00 ;     -      ;       0.00 ;       0.00 ;    6568.00 ;    4056.00 ;     870.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     870.00 ;    2180.57 ;   19048.32 ;
  20  ;   LEVE ; NE   ;       0.00 ;   12571.43 ;     -      ;       0.00 ;       0.00 ;   16115.32 ;    1628.00 ;    1596.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    6768.59 ;   -6768.59 ;       3.00 ;    5032.53 ;   26393.70 ;
  20  ;   LEVE ; N    ;       3.06 ;    8386.47 ;     -      ;       0.00 ;       0.00 ;    2301.00 ;    2035.59 ;    1646.07 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2803.81 ;    2803.81 ;    1090.00 ;    3628.55 ;   13418.73 ;
  20  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  21  ;   LEVE ; SE   ;       0.00 ;   42710.22 ;     -      ;       0.00 ;       0.00 ;   22386.84 ;   14086.57 ;    5205.60 ;     107.24 ;    3114.89 ;    2714.89 ;       0.00 ;   -3465.95 ;    3465.95 ;    4621.00 ;   12837.46 ;   99538.91 ;
  21  ;   LEVE ; S    ;       0.00 ;   11550.12 ;     -      ;       0.00 ;       0.00 ;    7039.00 ;    3646.12 ;     865.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     865.00 ;    2180.57 ;   19038.30 ;
  21  ;   LEVE ; NE   ;       0.00 ;   12590.44 ;     -      ;       0.00 ;       0.00 ;   15589.24 ;    1628.00 ;    1596.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    6223.50 ;   -6223.50 ;       3.00 ;    5032.53 ;   26392.54 ;
  21  ;   LEVE ; N    ;       2.89 ;    8471.44 ;     -      ;       0.00 ;       0.00 ;    2449.00 ;    2035.60 ;    1629.30 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2757.55 ;    2757.55 ;    1090.00 ;    3618.55 ;   13418.74 ;
  21  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  22  ;   LEVE ; SE   ;       0.00 ;   43012.42 ;     -      ;       0.00 ;       0.00 ;   23063.36 ;   13952.89 ;    5205.60 ;     107.24 ;    3051.84 ;    2651.84 ;       0.00 ;   -3225.31 ;    3225.31 ;    4621.00 ;   12837.46 ;   99541.97 ;
  22  ;   LEVE ; S    ;       0.00 ;   11822.19 ;     -      ;       0.00 ;       0.00 ;    7391.00 ;    3566.19 ;     865.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     865.00 ;    2180.57 ;   19027.65 ;
  22  ;   LEVE ; NE   ;       0.00 ;   12749.52 ;     -      ;       0.00 ;       0.00 ;   15490.79 ;    1628.00 ;    1596.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5965.96 ;   -5965.96 ;       3.00 ;    5032.53 ;   26391.38 ;
  22  ;   LEVE ; N    ;       2.85 ;    8560.43 ;     -      ;       0.00 ;       0.00 ;    2555.00 ;    2035.60 ;    1629.17 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2740.66 ;    2740.66 ;    1090.00 ;    3618.55 ;   13418.74 ;
  22  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  23  ;   LEVE ; SE   ;       0.00 ;   43398.32 ;     -      ;       0.00 ;       0.00 ;   23469.58 ;   14071.25 ;    5205.60 ;     107.24 ;    3099.91 ;    2699.91 ;       0.00 ;   -3086.64 ;    3086.64 ;    4621.00 ;   12837.46 ;   99544.85 ;
  23  ;   LEVE ; S    ;       0.00 ;   11992.12 ;     -      ;       0.00 ;       0.00 ;    7565.67 ;    3561.45 ;     865.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     865.00 ;    2180.57 ;   19016.90 ;
  23  ;   LEVE ; NE   ;       0.00 ;   12979.20 ;     -      ;       0.00 ;       0.00 ;   15544.17 ;    1628.00 ;    1596.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5789.67 ;   -5789.67 ;       3.00 ;    5032.53 ;   26390.22 ;
  23  ;   LEVE ; N    ;       2.99 ;    8605.62 ;     -      ;       0.00 ;       0.00 ;    2635.00 ;    2035.61 ;    1631.97 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2703.04 ;    2703.04 ;    1090.00 ;    3613.55 ;   13418.74 ;
  23  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  24  ;   LEVE ; SE   ;       0.00 ;   43660.29 ;     -      ;       0.00 ;       0.00 ;   23548.67 ;   14060.66 ;    5205.60 ;     107.24 ;    3089.62 ;    2689.62 ;       0.00 ;   -3280.09 ;    3280.09 ;    4621.00 ;   12837.46 ;   99546.88 ;
  24  ;   LEVE ; S    ;       0.00 ;   12013.78 ;     -      ;       0.00 ;       0.00 ;    7610.00 ;    3538.78 ;     865.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     865.00 ;    2180.57 ;   19005.15 ;
  24  ;   LEVE ; NE   ;       0.00 ;   13053.49 ;     -      ;       0.00 ;       0.00 ;   15896.03 ;    1628.00 ;    1596.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    6067.24 ;   -6067.24 ;       3.00 ;    5032.53 ;   26389.07 ;
  24  ;   LEVE ; N    ;       3.11 ;    8724.42 ;     -      ;       0.00 ;       0.00 ;    2670.00 ;    2035.62 ;    1631.65 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2787.15 ;    2787.15 ;    1090.00 ;    3613.55 ;   13418.75 ;
  24  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  25  ;   LEVE ; SE   ;       0.00 ;   43708.52 ;     -      ;       0.00 ;       0.00 ;   23429.53 ;   14044.10 ;    5205.60 ;     107.24 ;    3113.65 ;    2713.65 ;       0.00 ;   -3464.04 ;    3464.04 ;    4621.00 ;   12837.46 ;   99549.56 ;
  25  ;   LEVE ; S    ;       0.00 ;   11968.97 ;     -      ;       0.00 ;       0.00 ;    7491.59 ;    3612.38 ;     865.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     865.00 ;    2180.57 ;   18994.69 ;
  25  ;   LEVE ; NE   ;       0.00 ;   12878.58 ;     -      ;       0.00 ;       0.00 ;   15997.92 ;    1628.00 ;    1596.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    6344.04 ;   -6344.04 ;       3.00 ;    5032.53 ;   26387.95 ;
  25  ;   LEVE ; N    ;       3.19 ;    8793.51 ;     -      ;       0.00 ;       0.00 ;    2650.00 ;    2035.63 ;    1627.88 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2880.00 ;    2880.00 ;    1090.00 ;    3613.55 ;   13418.75 ;
  25  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  26  ;   LEVE ; SE   ;       0.00 ;   43565.60 ;     -      ;       0.00 ;       0.00 ;   22948.97 ;   13980.98 ;    5205.60 ;     107.24 ;    3050.82 ;    2650.82 ;       0.00 ;   -3864.79 ;    3864.79 ;    4621.00 ;   12837.46 ;   99551.75 ;
  26  ;   LEVE ; S    ;       0.00 ;   11794.82 ;     -      ;       0.00 ;       0.00 ;    7327.00 ;    3602.82 ;     865.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     865.00 ;    2180.57 ;   18983.29 ;
  26  ;   LEVE ; NE   ;       0.00 ;   12761.37 ;     -      ;       0.00 ;       0.00 ;   16377.82 ;    1628.00 ;    1596.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    6841.15 ;   -6841.15 ;       3.00 ;    5032.53 ;   26386.82 ;
  26  ;   LEVE ; N    ;       0.01 ;    8837.29 ;     -      ;       0.00 ;       0.00 ;    2594.00 ;    2035.63 ;    1631.30 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -2976.36 ;    2976.36 ;    1090.00 ;    3613.55 ;   13418.76 ;
  26  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  27  ;   LEVE ; SE   ;       0.00 ;   43442.59 ;     -      ;       0.00 ;       0.00 ;   22198.06 ;   14012.47 ;    5205.60 ;     107.24 ;    3085.11 ;    2685.11 ;       0.00 ;   -4461.20 ;    4461.20 ;    4621.00 ;   12837.46 ;   99553.48 ;
  27  ;   LEVE ; S    ;       0.00 ;   11555.02 ;     -      ;       0.00 ;       0.00 ;    7224.00 ;    3466.02 ;     865.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     865.00 ;    2180.57 ;   18978.15 ;
  27  ;   LEVE ; NE   ;       0.00 ;   12688.68 ;     -      ;       0.00 ;       0.00 ;   16961.08 ;    1628.00 ;    1597.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    7498.10 ;   -7498.10 ;       3.00 ;    5032.53 ;   26385.70 ;
  27  ;   LEVE ; N    ;       3.16 ;    8839.69 ;     -      ;       0.00 ;       0.00 ;    2519.00 ;    2035.64 ;    1648.15 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -3036.90 ;    3036.90 ;    1090.00 ;    3613.55 ;   13418.84 ;
  27  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  28  ;   LEVE ; SE   ;       0.00 ;   43825.88 ;     -      ;       0.00 ;       0.00 ;   21235.84 ;   13956.04 ;    5205.60 ;     107.24 ;    3028.98 ;    2628.98 ;       0.00 ;   -5863.14 ;    5863.14 ;    4621.00 ;   12837.46 ;   99553.91 ;
  28  ;   LEVE ; S    ;       0.00 ;   11529.69 ;     -      ;       0.00 ;       0.00 ;    6877.00 ;    3787.69 ;     865.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     865.00 ;    2180.57 ;   18971.64 ;
  28  ;   LEVE ; NE   ;       0.00 ;   12720.22 ;     -      ;       0.00 ;       0.00 ;   18457.88 ;    1721.31 ;    1598.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    9057.67 ;   -9057.67 ;       3.00 ;    5032.53 ;   26384.58 ;
  28  ;   LEVE ; N    ;       3.08 ;    8892.63 ;     -      ;       0.00 ;       0.00 ;    2423.00 ;    2035.65 ;    1639.45 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -3194.53 ;    3194.53 ;    1090.00 ;    3613.55 ;   13418.92 ;
  28  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  29  ;   LEVE ; SE   ;       0.01 ;   43331.85 ;     -      ;       0.00 ;       0.00 ;   20037.24 ;   14017.90 ;    5205.60 ;     107.24 ;    3119.58 ;    2719.58 ;       0.00 ;   -6505.84 ;    6505.84 ;    4621.00 ;   12837.46 ;   99553.84 ;
  29  ;   LEVE ; S    ;       0.00 ;   11340.98 ;     -      ;       0.00 ;       0.00 ;    6709.00 ;    3766.98 ;     865.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     865.00 ;    2184.57 ;   18967.15 ;
  29  ;   LEVE ; NE   ;       0.00 ;   12733.18 ;     -      ;       0.00 ;       0.00 ;   18994.04 ;    1957.75 ;    1599.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    9818.31 ;   -9818.31 ;       3.00 ;    5032.53 ;   26383.46 ;
  29  ;   LEVE ; N    ;       0.01 ;    8896.42 ;     -      ;       0.00 ;       0.00 ;    2309.00 ;    2035.65 ;    1639.30 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -3312.47 ;    3312.47 ;    1090.00 ;    3608.55 ;   13419.00 ;
  29  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  30  ;   LEVE ; SE   ;       0.01 ;   43258.00 ;     -      ;       0.00 ;       0.00 ;   18715.01 ;   13992.16 ;    5205.60 ;     107.24 ;    3065.14 ;    2665.14 ;       0.00 ;   -7779.97 ;    7779.97 ;    4621.00 ;   12837.46 ;   99551.93 ;
  30  ;   LEVE ; S    ;       0.00 ;   11156.68 ;     -      ;       0.00 ;       0.00 ;    6077.50 ;    5381.97 ;     880.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    1182.79 ;   -1182.79 ;     865.00 ;    2184.57 ;   18969.97 ;
  30  ;   LEVE ; NE   ;       0.01 ;   12881.29 ;     -      ;       0.00 ;       0.00 ;   19292.00 ;    2005.18 ;    1600.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   10016.59 ;  -10016.59 ;       3.00 ;    5032.53 ;   26382.34 ;
  30  ;   LEVE ; N    ;       3.10 ;    8838.60 ;     -      ;       0.00 ;       0.00 ;    2141.00 ;    2035.66 ;    1642.52 ;       0.00 ;       0.00 ;     400.00 ;       0.00 ;   -3419.41 ;    3419.41 ;    1090.00 ;    3608.55 ;   13419.08 ;
  30  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  31  ;   LEVE ; SE   ;     117.44 ;   43327.83 ;     -      ;       0.00 ;       0.00 ;   17131.96 ;   14073.97 ;    5213.60 ;     107.24 ;    6664.35 ;    2590.35 ;       0.00 ;   -5669.06 ;    5669.06 ;    4621.00 ;   12837.46 ;   99549.92 ;
  31  ;   LEVE ; S    ;      10.37 ;   11216.89 ;     -      ;       0.00 ;       0.00 ;    6056.00 ;    7558.84 ;     926.60 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3324.55 ;   -3324.55 ;     895.00 ;    2184.57 ;   18985.52 ;
  31  ;   LEVE ; NE   ;      98.56 ;   13028.19 ;     -      ;       0.00 ;       0.00 ;   18941.00 ;    2005.12 ;    1601.70 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    9519.64 ;   -9519.64 ;       3.00 ;    5032.53 ;   26381.23 ;
  31  ;   LEVE ; N    ;     103.08 ;    8840.80 ;     -      ;       0.00 ;       0.00 ;    1940.00 ;    2035.67 ;    1764.00 ;       0.00 ;       0.00 ;    4073.99 ;       0.00 ;   -7175.13 ;    7175.13 ;    1090.00 ;    3603.55 ;   13419.15 ;
  31  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
