RAMP
&& 
& 1-ANGRA 1
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 25   6      S   A      80.000    12 1
&
 25   6      S   D      50.000     0 1
 25   6      S   D       0.000     1 0
&
&
& 26-J.LACERDA A1
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 26   1      S   A       0.000    12 1
 26   1      S   A       6.000    13 0
 26   1      S   A      10.000    13 1
 26   1      S   A      18.000    14 0
 26   1      S   A      25.000    14 1
 26   1      S   A      25.000    16 1
 26   1      S   A      35.000    17 0
&
 26   1      S   D      20.000     0 1
 26   1      S   D       0.000     1 0
&
 26   2      S   A       0.000    12 1
 26   2      S   A       6.000    13 0
 26   2      S   A      10.000    13 1
 26   2      S   A      18.000    14 0
 26   2      S   A      25.000    14 1
 26   2      S   A      25.000    16 1
 26   2      S   A      35.000    17 0
&
 26   2      S   D      20.000     0 1
 26   2      S   D       0.000     1 0
&
&
& 27-J.LACERDA A2
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 27   3      S   A       0.000    12 1
 27   3      S   A       3.000    13 0
 27   3      S   A      10.000    13 1
 27   3      S   A      15.000    14 0
 27   3      S   A      24.000    14 1
 27   3      S   A      24.000    15 0
 27   3      S   A      33.000    15 1
 27   3      S   A      35.000    16 0
 27   3      S   A      35.000    17 1
&
 27   3      S   D      17.000     0 1
 27   3      S   D       0.000     1 0
&
 27   4      S   A       0.000    12 1
 27   4      S   A       3.000    13 0
 27   4      S   A      10.000    13 1
 27   4      S   A      15.000    14 0
 27   4      S   A      24.000    14 1
 27   4      S   A      24.000    15 0
 27   4      S   A      33.000    15 1
 27   4      S   A      35.000    16 0
 27   4      S   A      35.000    17 1
&
 27   4      S   D      17.000     0 1
 27   4      S   D       0.000     1 0
&
&
& 28-FIGUEIRA
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 28   1      S   A       2.000     0 1
 28   1      S   A       4.000     1 0
 28   1      S   A       6.000     1 1
 28   1      S   A       8.000     2 0
 28   1      S   A      10.000     2 1
 28   1      S   A      12.000     3 0
 28   1      S   A      14.000     3 1
 28   1      S   A      15.000     4 0
&
 28   1      S   D      10.000     0 1
 28   1      S   D       0.000     1 0
&
&
& 35-URUGUAIANA
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 35   1      C   A     180.000     7 0
&
 35   1      C   D       0.000     2 0
&
 35   2      C   A     180.000     7 0
&
 35   2      C   D       0.000     2 0
&
 35   3      C   A     360.000    11 0
&
 35   3      C   D       0.000     3 0
&
&
& 36-MARANHAO IV
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 36   1      C   A     100.000     0 1
 36   1      C   A     200.000     1 0
&
 36   1      C   D       0.000     0 1
&
&
& 43-TERMOBAHIA (C.FURTADO)
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 43   1      S   A       0.000     0 1
 43   1      S   A       0.000    46 1
 43   1      S   A       1.000    47 0
 43   1      S   A      60.000    47 1
 43   1      S   A      95.000    48 0
&
 43   1      S   D      95.000     0 1
 43   1      S   D       0.000     1 0
&
&
& 46-N.VENECIA 2
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 46   1      C   A     109.299     0 1
&
 46   1      C   D       0.000     0 1
&
 46   2      C   A      15.000     0 1
 46   2      C   A      15.000     3 1
 46   2      C   A      25.000     4 0
 46   2      C   A      40.000     4 1
 46   2      C   A      40.000     5 0
 46   2      C   A      50.000     5 1
 46   2      C   A      50.000     6 0
 46   2      C   A     108.000     6 1
 46   2      C   A     108.000     7 0
 46   2      C   A     163.299     7 1
&
 46   2      C   D       0.000     0 1
&
&
& 47-TERMORIO
&us uni seg  C   T  Potencia   Tempo Flag meia hora
&XX XXX XXX  X   X  XXXXXXXXXX XXXXX X
 47   1      C   A       0.000     1 0
 47   1      C   A      10.000     1 1
 47   1      C   A      10.000     2 0
 47   1      C   A      30.000     2 1
 47   1      C   A      40.000     3 0
 47   1      C   A      60.000     3 1
 47   1      C   A      80.000     4 0
 47   1      C   A      90.000     4 1
 47   1      C   A     110.000     5 0
 47   1      C   A     140.000     5 1
 47   1      C   A     210.000     6 0
 47   1      C   A     230.000     6 1
 47   1      C   A     270.000     7 0
&
 47   1      C   D     120.000     0 1
 47   1      C   D       0.000     1 0
&
 47   2      C   A       0.000     1 0
 47   2      C   A      20.000     1 1
 47   2      C   A      20.000     2 0
 47   2      C   A      50.000     2 1
 47   2      C   A      70.000     3 0
 47   2      C   A     100.000     3 1
 47   2      C   A     130.000     4 0
 47   2      C   A     140.000     4 1
 47   2      C   A     170.000     5 0
 47   2      C   A     220.000     5 1
 47   2      C   A     330.000     6 0
 47   2      C   A     350.000     6 1
 47   2      C   A     397.000     7 0
&
 47   2      C   D     163.000     0 1
 47   2      C   D       0.000     1 0
&
 47   3      C   A       0.000     1 0
 47   3      C   A      20.000     1 1
 47   3      C   A      20.000     2 0
 47   3      C   A      50.000     2 1
 47   3      C   A      70.000     3 0
 47   3      C   A     100.000     3 1
 47   3      C   A     130.000     4 0
 47   3      C   A     140.000     4 1
 47   3      C   A     170.000     5 0
 47   3      C   A     220.000     5 1
 47   3      C   A     330.000     6 0
 47   3      C   A     350.000     6 1
 47   3      C   A     397.000     7 0
&
 47   3      C   D     163.000     0 1
 47   3      C   D       0.000     1 0
&
 47   4      C   A       0.000     1 0
 47   4      C   A      20.000     1 1
 47   4      C   A      20.000     2 0
 47   4      C   A      50.000     2 1
 47   4      C   A      70.000     3 0
 47   4      C   A     100.000     3 1
 47   4      C   A     130.000     4 0
 47   4      C   A     140.000     4 1
 47   4      C   A     170.000     5 0
 47   4      C   A     220.000     5 1
 47   4      C   A     330.000     6 0
 47   4      C   A     350.000     6 1
 47   4      C   A     397.000     7 0
&
 47   4      C   D     163.000     0 1
 47   4      C   D       0.000     1 0
&
 47   5      C   A       0.000     1 0
 47   5      C   A      20.000     1 1
 47   5      C   A      20.000     2 0
