***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________

-------------------------------------------------------
Custos marginais dos contratos de importacao de energia                         
-------------------------------------------------------
---------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
CONTR:     Numero do contrato de imp/exp de energia                                                                                                                                                     
NomeContr: Nome do contrato de imp/exp de energia                                                                                                                                                       
NumBarra:  Numero da barra da rede eletrica                                                                                                                                                             
NomeSist:  Nome do subsistema                                                                                                                                                                           
Econtr:    Energia contratada                                                                                                                                                                           
CustContr: Custo (Preco) da energia imp/exp                                                                                                                                                             
CMO:       Custo marginal de operacao                                                                                                                                                                   
CMB:       Custo marginal de operacao da barra                                                                                                                                                          
---------------------------------------------------

-----;-----;-----------;--------;--------;---------;---------;----------;------------;
IPER ;CONTR; NomeContr ;NumBarra;NomeSist; Econtr  ;CustContr;   CMO    ;    CMB     ;
  -  ;  -  ;     -     ;   -    ;   -    ;  (MW)   ;  (MW)   ; (R$/MWh) ;  (R$/MWh)  ;
-----;-----;-----------;--------;--------;---------;---------;----------;------------;
   3 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   161.73;     0.00;   296.08 ;     286.32 ;
   3 ; 151 ; E4POL3-I-F;  7057  ; SE     ;   161.73;     0.00;   296.08 ;     286.32 ;
   3 ; 152 ; E4POL4-I-F;  7057  ; SE     ;   161.73;     0.00;   296.08 ;     286.32 ;
   3 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;   111.00;     0.00;   296.08 ;     292.13 ;
   3 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   262.77;   296.08 ;     292.13 ;
   3 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   270.00;     0.00;   296.08 ;     292.13 ;
   3 ; 302 ; FUTDCE-I-F;  3112  ; SE     ;   200.00;     0.00;   296.08 ;     291.45 ;
   3 ; 511 ; FUPL1I-I-F;    86  ; SE     ;   156.50;     0.00;   296.08 ;     347.54 ;
   3 ; 512 ; FUPL3I-I-F;    86  ; SE     ;   654.92;     0.00;   296.08 ;     347.54 ;
   3 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;   738.47;     0.00;   296.08 ;     291.98 ;
   3 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;   738.47;     0.00;   296.08 ;     291.98 ;
   3 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;   292.15 ;     291.98 ;
   3 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;   292.15 ;     291.98 ;
   3 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   100.00;     0.00;   296.08 ;     291.71 ;
   3 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   100.00;     0.00;   296.08 ;     291.71 ;
   3 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;   292.15 ;     291.98 ;
   3 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;   292.15 ;     291.98 ;
   4 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   325.90;     0.00;   290.70 ;     280.53 ;
   4 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;   325.90;     0.00;   290.70 ;     280.53 ;
   4 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   154.33;     0.00;   290.70 ;     280.53 ;
   4 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   154.33;     0.00;   290.70 ;     280.53 ;
   4 ; 151 ; E4POL3-I-F;  7057  ; SE     ;   154.33;     0.00;   290.70 ;     280.53 ;
   4 ; 152 ; E4POL4-I-F;  7057  ; SE     ;   154.33;     0.00;   290.70 ;     280.53 ;
   4 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;   111.00;     0.00;   290.70 ;     286.58 ;
   4 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   262.77;   290.70 ;     286.58 ;
   4 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   270.00;     0.00;   290.70 ;     286.58 ;
   4 ; 302 ; FUTDCE-I-F;  3112  ; SE     ;   200.00;     0.00;   290.70 ;     285.88 ;
   4 ; 511 ; FUPL1I-I-F;    86  ; SE     ;   586.89;     0.00;   290.70 ;     344.51 ;
   4 ; 512 ; FUPL3I-I-F;    86  ; SE     ;   156.50;     0.00;   290.70 ;     344.51 ;
   4 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;   770.91;     0.00;   290.70 ;     286.42 ;
   4 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;   770.91;     0.00;   290.70 ;     286.42 ;
   4 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;   286.60 ;     286.42 ;
   4 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;   286.60 ;     286.42 ;
   4 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   100.00;     0.00;   290.70 ;     286.15 ;
   4 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   100.00;     0.00;   290.70 ;     286.15 ;
   4 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;   286.60 ;     286.42 ;
   4 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;   286.60 ;     286.42 ;
   5 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   325.90;     0.00;   289.09 ;     278.87 ;
   5 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;   325.90;     0.00;   289.09 ;     278.87 ;
   5 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   101.15;     0.00;   289.09 ;     278.87 ;
   5 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   101.15;     0.00;   289.09 ;     278.87 ;
   5 ; 151 ; E4POL3-I-F;  7057  ; SE     ;   101.15;     0.00;   289.09 ;     278.87 ;
   5 ; 152 ; E4POL4-I-F;  7057  ; SE     ;   101.15;     0.00;   289.09 ;     278.87 ;
   5 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;   111.00;     0.00;   289.09 ;     284.95 ;
   5 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   262.77;   289.09 ;     284.95 ;
   5 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   270.00;     0.00;   289.09 ;     284.95 ;
   5 ; 302 ; FUTDCE-I-F;  3112  ; SE     ;   200.00;     0.00;   289.09 ;     284.25 ;
   5 ; 511 ; FUPL1I-I-F;    86  ; SE     ;   439.42;     0.00;   289.09 ;     343.35 ;
   5 ; 512 ; FUPL3I-I-F;    86  ; SE     ;   156.50;     0.00;   289.09 ;     343.35 ;
   5 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;   732.96;     0.00;   289.09 ;     284.79 ;
   5 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;   732.96;     0.00;   289.09 ;     284.79 ;
   5 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;   284.97 ;     284.79 ;
   5 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;   284.97 ;     284.79 ;
   5 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   100.00;     0.00;   289.09 ;     284.52 ;
   5 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   100.00;     0.00;   289.09 ;     284.52 ;
   5 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;   284.97 ;     284.79 ;
   5 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;   284.97 ;     284.79 ;
   6 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   325.90;     0.00;   289.06 ;     278.57 ;
   6 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;   325.90;     0.00;   289.06 ;     278.57 ;
   6 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   164.28;     0.00;   289.06 ;     278.57 ;
   6 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   164.28;     0.00;   289.06 ;     278.57 ;
   6 ; 151 ; E4POL3-I-F;  7057  ; SE     ;   164.28;     0.00;   289.06 ;     278.57 ;
   6 ; 152 ; E4POL4-I-F;  7057  ; SE     ;   164.28;     0.00;   289.06 ;     278.57 ;
   6 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;   111.00;     0.00;   289.06 ;     284.83 ;
   6 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   262.77;   289.06 ;     284.83 ;
   6 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   270.00;     0.00;   289.06 ;     284.82 ;
   6 ; 302 ; FUTDCE-I-F;  3112  ; SE     ;   200.00;     0.00;   289.06 ;     284.11 ;
   6 ; 511 ; FUPL1I-I-F;    86  ; SE     ;   280.78;     0.00;   289.06 ;     344.89 ;
   6 ; 512 ; FUPL3I-I-F;    86  ; SE     ;   156.50;     0.00;   289.06 ;     344.89 ;
   6 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;   829.94;     0.00;   289.06 ;     284.66 ;
   6 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;   829.94;     0.00;   289.06 ;     284.66 ;
   6 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;   284.84 ;     284.66 ;
   6 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;   284.84 ;     284.66 ;
   6 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   100.00;     0.00;   289.06 ;     284.38 ;
   6 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   100.00;     0.00;   289.06 ;     284.38 ;
   6 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;   284.84 ;     284.66 ;
   6 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;   284.84 ;     284.66 ;
   7 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   325.90;     0.00;   289.19 ;     278.65 ;
   7 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;   325.90;     0.00;   289.19 ;     278.65 ;
   7 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   175.73;     0.00;   289.19 ;     278.65 ;
   7 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   175.73;     0.00;   289.19 ;     278.65 ;
   7 ; 151 ; E4POL3-I-F;  7057  ; SE     ;   175.73;     0.00;   289.19 ;     278.65 ;
   7 ; 152 ; E4POL4-I-F;  7057  ; SE     ;   175.73;     0.00;   289.19 ;     278.65 ;
   7 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;   111.00;     0.00;   289.19 ;     284.92 ;
   7 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   262.77;   289.19 ;     284.92 ;
   7 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   270.00;     0.00;   289.19 ;     284.92 ;
   7 ; 302 ; FUTDCE-I-F;  3112  ; SE     ;   200.00;     0.00;   289.19 ;     284.20 ;
   7 ; 511 ; FUPL1I-I-F;    86  ; SE     ;   265.72;     0.00;   289.19 ;     345.13 ;
   7 ; 512 ; FUPL3I-I-F;    86  ; SE     ;   156.50;     0.00;   289.19 ;     345.13 ;
   7 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;  1140.80;     0.00;   289.19 ;     284.76 ;
   7 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;  1140.80;     0.00;   289.19 ;     284.76 ;
   7 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;   284.94 ;     284.76 ;
   7 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;   284.94 ;     284.76 ;
   7 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   100.00;     0.00;   289.19 ;     284.48 ;
   7 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   100.00;     0.00;   289.19 ;     284.48 ;
   7 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;   284.94 ;     284.76 ;
   7 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;   284.94 ;     284.76 ;
   8 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   325.90;     0.00;   287.96 ;     277.85 ;
   8 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;   325.90;     0.00;   287.96 ;     277.85 ;
   8 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   162.82;     0.00;   287.96 ;     277.85 ;
   8 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   162.82;     0.00;   287.96 ;     277.85 ;
   8 ; 151 ; E4POL3-I-F;  7057  ; SE     ;   162.82;     0.00;   287.96 ;     277.85 ;
   8 ; 152 ; E4POL4-I-F;  7057  ; SE     ;   162.82;     0.00;   287.96 ;     277.85 ;
   8 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;   111.00;     0.00;   287.96 ;     283.86 ;
   8 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   262.77;   287.96 ;     283.86 ;
   8 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   270.00;     0.00;   287.96 ;     283.86 ;
   8 ; 302 ; FUTDCE-I-F;  3112  ; SE     ;   200.00;     0.00;   287.96 ;     283.17 ;
   8 ; 511 ; FUPL1I-I-F;    86  ; SE     ;   252.68;     0.00;   287.96 ;     341.58 ;
   8 ; 512 ; FUPL3I-I-F;    86  ; SE     ;   156.50;     0.00;   287.96 ;     341.58 ;
   8 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;  1201.95;     0.00;   287.96 ;     283.70 ;
   8 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;  1201.95;     0.00;   287.96 ;     283.70 ;
   8 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;   283.88 ;     283.70 ;
   8 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;   283.88 ;     283.70 ;
   8 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   100.00;     0.00;   287.96 ;     283.44 ;
   8 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   100.00;     0.00;   287.96 ;     283.44 ;
   8 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;   283.88 ;     283.70 ;
   8 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;   283.88 ;     283.70 ;
   9 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   325.90;     0.00;   287.95 ;     277.90 ;
   9 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;   325.90;     0.00;   287.95 ;     277.90 ;
   9 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   175.81;     0.00;   287.95 ;     277.90 ;
   9 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   175.81;     0.00;   287.95 ;     277.90 ;
   9 ; 151 ; E4POL3-I-F;  7057  ; SE     ;   175.81;     0.00;   287.95 ;     277.90 ;
   9 ; 152 ; E4POL4-I-F;  7057  ; SE     ;   175.81;     0.00;   287.95 ;     277.90 ;
   9 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;   111.00;     0.00;   287.95 ;     283.85 ;
   9 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   262.77;   287.95 ;     283.85 ;
   9 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   270.00;     0.00;   287.95 ;     283.85 ;
   9 ; 302 ; FUTDCE-I-F;  3112  ; SE     ;   200.00;     0.00;   287.95 ;     283.17 ;
   9 ; 511 ; FUPL1I-I-F;    86  ; SE     ;   156.50;     0.00;   287.95 ;     341.01 ;
