-----;----;-----;-----------;------;----;-----------------;---------;-----------------;----------;------------;-------------;------------------------------;
IPER ;TIPO;CONTR; NomeContr ;Barra ;Sist; Inflexibilidade ;CustContr;     Geracao     ;   CMO    ;    CMB     ;ORD.MER.TOTAL;          Titulacao           ;
  -  ; -  ;  -  ;     -     ;  -   ; -  ;       MW        ;  (MW)   ;       MW        ; (R$/MWh) ;  (R$/MWh)  ;      -      ;              -               ;
-----;----;-----;-----------;------;----;-----------------;---------;-----------------;----------;------------;-------------;------------------------------;
  13 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   246.04 ;     243.98 ;             ; Inflexibilidade              ;
  14 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.01 ;       0.01 ;             ; Inflexibilidade              ;
  14 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.01 ;       0.01 ;             ; Inflexibilidade              ;
  15 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.01 ;       0.01 ;             ; Inflexibilidade              ;
  15 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.01 ;       0.01 ;             ; Inflexibilidade              ;
  16 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.01 ;       0.01 ;             ; Inflexibilidade              ;
  16 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.01 ;       0.01 ;             ; Inflexibilidade              ;
  17 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  17 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  18 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  18 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  19 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  19 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  20 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  20 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  21 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  21 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  22 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  22 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  23 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  23 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  24 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  24 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  25 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  25 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  26 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  26 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  27 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  27 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  28 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  28 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.00 ;       0.00 ;             ; Inflexibilidade              ;
  29 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.01 ;       0.01 ;             ; Inflexibilidade              ;
  29 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.01 ;       0.01 ;             ; Inflexibilidade              ;
  30 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;     0.01 ;       0.01 ;             ; Inflexibilidade              ;
  30 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;     0.01 ;       0.01 ;             ; Inflexibilidade              ;
  31 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   117.44 ;     101.36 ;             ; Inflexibilidade              ;
  31 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   117.44 ;     101.36 ;             ; Inflexibilidade              ;
  32 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   276.80 ;     270.65 ;             ; Inflexibilidade              ;
  32 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   276.80 ;     270.65 ;     MAX     ; Ordem de merito              ;
  33 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   291.48 ;     286.23 ;             ; Inflexibilidade              ;
