***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
  1 ;  LEVE ; 36 ;MARANHAO IV  ;  1 ; N  ;    337.60 ;      0.00 ;    337.60 ;     337.60 ;  L  ;    182.15 ;
  1 ;  LEVE ; 36 ;MARANHAO IV  ; 99 ; N  ;    337.60 ;      0.00 ;    337.60 ;     337.60 ;  -  ;           ;
  1 ;  LEVE ; 43 ;TERMOBAHIA   ;  1 ; NE ;      0.00 ;      0.00 ;    185.89 ;     185.89 ;  L  ;   1038.59 ;
  1 ;  LEVE ; 43 ;TERMOBAHIA   ; 99 ; NE ;      0.00 ;      0.00 ;    165.00 ;     185.89 ;  -  ;           ;
  1 ;  LEVE ; 46 ;N.VENECIA 2  ;  1 ; N  ;      0.00 ;      0.00 ;    178.21 ;     178.21 ;  L  ;    294.56 ;
  1 ;  LEVE ; 46 ;N.VENECIA 2  ;  2 ; N  ;    265.00 ;      0.00 ;    270.47 ;     270.47 ;  L  ;    294.56 ;
  1 ;  LEVE ; 46 ;N.VENECIA 2  ; 99 ; N  ;    265.00 ;     81.00 ;    265.00 ;     448.68 ;  -  ;           ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;     355.20 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  2 ; SE ;      0.00 ;      0.00 ;      0.00 ;     512.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  3 ; SE ;      0.00 ;      0.00 ;      0.00 ;     512.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  4 ; SE ;      0.00 ;      0.00 ;      0.00 ;     512.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  5 ; SE ;      0.00 ;      0.00 ;      0.00 ;     512.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  6 ; SE ;      0.00 ;      0.00 ;      0.00 ;     672.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  7 ; SE ;      0.00 ;      0.00 ;      0.00 ;     672.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  8 ; SE ;      0.00 ;      0.00 ;      0.00 ;     672.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ;  9 ; SE ;      0.00 ;      0.00 ;      0.00 ;     672.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 10 ; SE ;      0.00 ;      0.00 ;      0.00 ;     672.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 11 ; SE ;      0.00 ;      0.00 ;      0.00 ;     672.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 12 ; SE ;      0.00 ;      0.00 ;      0.00 ;     831.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 13 ; SE ;      0.00 ;      0.00 ;      0.00 ;     831.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 14 ; SE ;      0.00 ;      0.00 ;      0.00 ;     831.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 15 ; SE ;      0.00 ;      0.00 ;      0.00 ;     831.00 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 16 ; SE ;      0.00 ;      0.00 ;      0.00 ;     989.20 ;  D  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 17 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 18 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 19 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 20 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 21 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 22 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 23 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 24 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 25 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 26 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 27 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 28 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 29 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 30 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 31 ; SE ;      0.00 ;      0.00 ;    634.00 ;     634.00 ;  L  ;    945.14 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 99 ; SE ;      0.00 ;      0.00 ;    844.00 ;   15820.40 ;  -  ;           ;
  1 ;  LEVE ; 48 ;ARAUCARIA    ;  1 ; S  ;      0.00 ;      0.00 ;    235.00 ;     235.00 ;  L  ;    780.00 ;
  1 ;  LEVE ; 48 ;ARAUCARIA    ;  2 ; S  ;      0.00 ;      0.00 ;    235.00 ;     235.00 ;  L  ;    780.00 ;
  1 ;  LEVE ; 48 ;ARAUCARIA    ;  3 ; S  ;      0.00 ;      0.00 ;    484.15 ;     484.15 ;  L  ;    780.00 ;
  1 ;  LEVE ; 48 ;ARAUCARIA    ; 99 ; S  ;      0.00 ;      0.00 ;    484.00 ;     954.15 ;  -  ;           ;
  1 ;  LEVE ; 49 ;VIANA        ;  1 ; SE ;      0.00 ;      0.00 ;    174.60 ;     174.60 ;  L  ;   1089.24 ;
  1 ;  LEVE ; 49 ;VIANA        ; 99 ; SE ;      0.00 ;      0.00 ;    174.60 ;     174.60 ;  -  ;           ;
  1 ;  LEVE ; 52 ;CAMPINA GDE  ;  1 ; NE ;      0.00 ;      0.00 ;      0.00 ;      42.27 ;  D  ;   2001.08 ;
  1 ;  LEVE ; 52 ;CAMPINA GDE  ;  2 ; NE ;      0.00 ;      0.00 ;      0.00 ;      42.27 ;  D  ;   2001.08 ;
  1 ;  LEVE ; 52 ;CAMPINA GDE  ;  3 ; NE ;      0.00 ;      0.00 ;      0.00 ;      42.27 ;  D  ;   2001.08 ;
