***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________


 
Relatorio dos Contratos de importacao/exportacao de energia e  
 
-----;--------;-----;--------------;----;----;-----------;
 IPER;   Pat  ; Num ;    Nome      ;Tipo;Sist;  Econtr   ;
-----;--------;-----;--------------;----;----;-----------;
   2 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;   1262.83 ;
   2 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;   1262.83 ;
   2 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;   1262.83 ;
   2 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;   1262.83 ;
   2 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   2 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   2 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    100.00 ;
   2 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    100.00 ;
   2 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    100.00 ;
   2 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    100.00 ;
   2 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   2 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   3 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    325.90 ;
   3 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;    325.90 ;
   3 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    325.90 ;
   3 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;    325.90 ;
   3 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    161.73 ;
   3 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    161.73 ;
   3 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    161.73 ;
   3 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    161.73 ;
   3 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;    161.73 ;
   3 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;    161.73 ;
   3 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;    161.73 ;
   3 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;    161.73 ;
   3 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    330.00 ;
   3 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;    111.00 ;
   3 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   3 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    270.00 ;
   3 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    270.00 ;
   3 ;   LEVE ; 302 ;   FUTDCE-I-F ; CI ; SE ;    200.00 ;
   3 ;   LEVE ; 312 ;   FUTDCS-E-F ; CE ; SE ;    200.00 ;
   3 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;    156.50 ;
   3 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;    156.50 ;
   3 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;    654.92 ;
   3 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;    654.92 ;
   3 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;    738.47 ;
   3 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;    738.47 ;
   3 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;    738.47 ;
   3 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;    738.47 ;
   3 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   3 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   3 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    100.00 ;
   3 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    100.00 ;
   3 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    100.00 ;
   3 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    100.00 ;
   3 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   3 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   4 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    325.90 ;
   4 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;    325.90 ;
   4 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    325.90 ;
   4 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;    325.90 ;
   4 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    154.33 ;
   4 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    154.33 ;
   4 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    154.33 ;
   4 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    154.33 ;
   4 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;    154.33 ;
   4 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;    154.33 ;
   4 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;    154.33 ;
   4 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;    154.33 ;
   4 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    330.00 ;
   4 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;    111.00 ;
   4 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   4 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    270.00 ;
   4 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    270.00 ;
   4 ;   LEVE ; 302 ;   FUTDCE-I-F ; CI ; SE ;    200.00 ;
   4 ;   LEVE ; 312 ;   FUTDCS-E-F ; CE ; SE ;    200.00 ;
   4 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;    586.89 ;
   4 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;    586.89 ;
   4 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;    156.50 ;
   4 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;    156.50 ;
   4 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;    770.91 ;
   4 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;    770.91 ;
   4 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;    770.91 ;
   4 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;    770.91 ;
   4 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   4 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   4 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    100.00 ;
   4 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    100.00 ;
   4 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    100.00 ;
   4 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    100.00 ;
   4 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   4 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   5 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    325.90 ;
   5 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;    325.90 ;
   5 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    325.90 ;
   5 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;    325.90 ;
   5 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    101.15 ;
   5 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    101.15 ;
   5 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    101.15 ;
   5 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    101.15 ;
   5 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;    101.15 ;
   5 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;    101.15 ;
   5 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;    101.15 ;
   5 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;    101.15 ;
   5 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    330.00 ;
   5 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;    111.00 ;
   5 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   5 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    270.00 ;
   5 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    270.00 ;
   5 ;   LEVE ; 302 ;   FUTDCE-I-F ; CI ; SE ;    200.00 ;
   5 ;   LEVE ; 312 ;   FUTDCS-E-F ; CE ; SE ;    200.00 ;
   5 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;    439.42 ;
   5 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;    439.42 ;
   5 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;    156.50 ;
   5 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;    156.50 ;
   5 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;    732.96 ;
   5 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;    732.96 ;
   5 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;    732.96 ;
   5 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;    732.96 ;
   5 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   5 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   5 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    100.00 ;
   5 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    100.00 ;
   5 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    100.00 ;
   5 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    100.00 ;
   5 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   5 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   6 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    325.90 ;
   6 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;    325.90 ;
   6 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    325.90 ;
   6 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;    325.90 ;
   6 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    164.28 ;
   6 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    164.28 ;
   6 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    164.28 ;
   6 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    164.28 ;
   6 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;    164.28 ;
   6 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;    164.28 ;
   6 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;    164.28 ;
   6 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;    164.28 ;
   6 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    330.00 ;
   6 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;    111.00 ;
   6 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   6 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    270.00 ;
   6 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    270.00 ;
   6 ;   LEVE ; 302 ;   FUTDCE-I-F ; CI ; SE ;    200.00 ;
   6 ;   LEVE ; 312 ;   FUTDCS-E-F ; CE ; SE ;    200.00 ;
   6 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;    280.78 ;
   6 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;    280.78 ;
   6 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;    156.50 ;
   6 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;    156.50 ;
   6 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;    829.94 ;
   6 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;    829.94 ;
   6 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;    829.94 ;
   6 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;    829.94 ;
   6 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   6 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   6 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    100.00 ;
   6 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    100.00 ;
   6 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    100.00 ;
   6 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    100.00 ;
   6 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   6 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   7 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    325.90 ;
   7 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;    325.90 ;
   7 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    325.90 ;
   7 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;    325.90 ;
   7 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    175.73 ;
   7 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    175.73 ;
   7 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    175.73 ;
   7 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    175.73 ;
   7 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;    175.73 ;
   7 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;    175.73 ;
   7 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;    175.73 ;
   7 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;    175.73 ;
   7 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    330.00 ;
   7 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;    111.00 ;
   7 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   7 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    270.00 ;
