NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
 47 A.A. LAYDNER   1    09      F                  37
 47 A.A. LAYDNER   1    10      F                  36
 49 CHAVANTES      1    04      F                  24
 49 CHAVANTES      1    05      F                  25
 49 CHAVANTES      1    06      F                  24
 49 CHAVANTES      1    08      F                  23
 61 CAPIVARA       1    04      F                  83
 61 CAPIVARA       1    05      F                  81
 61 CAPIVARA       1    06      F                  80
 61 CAPIVARA       1    07      F                  79
 61 CAPIVARA       1    08      F                  78
 61 CAPIVARA       1    09      F                  77
 50 L.N. GARCEZ    1    04      F                  21
 45 JUPIA          1    04      F                 176
 45 JUPIA          1    06      F                 175
 45 JUPIA          1    09      F                 174
 43 TRES IRMAOS    1    04      F                   6
 34 I. SOLTEIRA    1    04      F                  87
 34 I. SOLTEIRA    1    07      F                  86
153 SAO DOMINGOS   1    04      F                  70
153 SAO DOMINGOS   1    07      F                  69
 46 P. PRIMAVERA   1    04      F                 310
 46 P. PRIMAVERA   1    05      F                 309
 46 P. PRIMAVERA   1    06      F                 308
 46 P. PRIMAVERA   1    07      F                 307
 46 P. PRIMAVERA   1    08      F                 306
 46 P. PRIMAVERA   1    10      F                 305
120 JAGUARI        1    04      F                   5
120 JAGUARI        1    10      F                   4
121 PARAIBUNA      1    04      F                  33
121 PARAIBUNA      1    05      F                  32
121 PARAIBUNA      1    08      F                  31
121 PARAIBUNA      1    09      F                  32
  6 FURNAS         1    04      F                  83
  6 FURNAS         1    05      F                  81
  6 FURNAS         1    06      F                  79
  6 FURNAS         1    07      F                  78
  6 FURNAS         1    08      F                  76
  6 FURNAS         1    09      F                  75
  6 FURNAS         1    10      F                  74
  7 M. DE MORAES   1    04      F                  33
  7 M. DE MORAES   1    05      F                  32
  7 M. DE MORAES   1    06      F                  31
  7 M. DE MORAES   1    07      F                  30
  7 M. DE MORAES   1    08      F                  29
  7 M. DE MORAES   1    09      F                  28
  8 ESTREITO       1    04      F                   8
  8 ESTREITO       1    05      F                   7
  8 ESTREITO       1    10      F                   6
 12 P. COLOMBIA    1    04      F                  27
 12 P. COLOMBIA    1    06      F                  26
 12 P. COLOMBIA    1    07      F                  25
 12 P. COLOMBIA    1    08      F                  24
 12 P. COLOMBIA    1    10      F                  23
 17 MARIMBONDO     1    04      F                 138
 17 MARIMBONDO     1    05      F                 136
 17 MARIMBONDO     1    06      F                 134
 17 MARIMBONDO     1    07      F                 132
 17 MARIMBONDO     1    08      F                 131
 17 MARIMBONDO     1    09      F                 130
 17 MARIMBONDO     1    10      F                 128
 31 ITUMBIARA      1    04      F                  65
 31 ITUMBIARA      1    05      F                  63
 31 ITUMBIARA      1    06      F                  61
 31 ITUMBIARA      1    07      F                  60
 31 ITUMBIARA      1    08      F                  58
 31 ITUMBIARA      1    09      F                  57
 31 ITUMBIARA      1    10      F                  56
 30 CORUMBA I      1    04      F                  41
 30 CORUMBA I      1    06      F                  40
 30 CORUMBA I      1    07      F                  39
 30 CORUMBA I      1    09      F                  38
251 SERRA MESA     1    04      F                  69
251 SERRA MESA     1    05      F                  68
251 SERRA MESA     1    06      F                  66
251 SERRA MESA     1    07      F                  65
251 SERRA MESA     1    08      F                  64
251 SERRA MESA     1    10      F                  63
278 MANSO          1    04      F                  33
278 MANSO          1    05      F                  32
278 MANSO          1    10      F                  31
123 FUNIL          1    04      F                  20
123 FUNIL          1    05      F                  19
123 FUNIL          1    08      F                  18
129 SIMPLICIO      1    04      F                  38
129 SIMPLICIO      1    05      F                  37
129 SIMPLICIO      1    07      F                  36
 20 BATALHA        1    04      F                  19
 20 BATALHA        1    05      F                  18
 20 BATALHA        1    07      F                  17
 20 BATALHA        1    09      F                  16
287 STO ANTONIO    1    04      F                  86
287 STO ANTONIO    1    05      F                  83
287 STO ANTONIO    1    06      F                  81
287 STO ANTONIO    1    07      F                  78
287 STO ANTONIO    1    08      F                  76
287 STO ANTONIO    1    09      F                  74
287 STO ANTONIO    1    10      F                  72
257 PEIXE ANGIC    1    04      F                  73
257 PEIXE ANGIC    1    05      F                  68
257 PEIXE ANGIC    1    06      F                  64
257 PEIXE ANGIC    1    07      F                  61
257 PEIXE ANGIC    1    08      F                  57
257 PEIXE ANGIC    1    09      F                  55
257 PEIXE ANGIC    1    10      F                  52
