&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT   228  229  H    03 00 0  F                 525
DEFANT   229  230  H    03 00 0  F                 481
DEFANT   241   34  H    03 00 0  F                  30
DEFANT   249   50  H    03 00 0  F                 107
DEFANT   251  252  H    03 00 0  F                 982
DEFANT   252  253  H    03 00 0  F                1029
DEFANT   253  257  H    03 00 0  F                1001
DEFANT   257  261  H    02 00 0  F                 901
DEFANT   257  261  H    03 00 0  F                 814
DEFANT   261  267  H    01 00 0  F                 618
DEFANT   261  267  H    02 00 0  F                 894
DEFANT   261  267  H    03 00 0  F                 904
DEFANT   262  241  H    03 00 0  F                  64
DEFANT   267  275  H    01 00 0  F                1132
DEFANT   267  275  H    02 00 0  F                1056
DEFANT   267  275  H    03 00 0  F                1107
DEFANT   280  284  H    03 00 0  F                 258
DEFANT   285  287  H    03 00 0  F                3970
DEFANT   290   34  H    03 00 0  F                  27
DEFANT   311  312  H    03 00 0  F                  47
DEFANT   312  315  H    03 00 0  F                 108
DEFANT   315   34  H    03 00 0  F                 106
DEFANT    66    1  S    03  0 0  F                6305
DEFANT    66    1  S    03  0 1  F                6303
DEFANT    66    1  S    03  1 0  F                5649
DEFANT    66    1  S    03  1 1  F                5645
DEFANT    66    1  S    03  2 0  F                5597
DEFANT    66    1  S    03  2 1  F                5594
DEFANT    66    1  S    03  3 0  F                5568
DEFANT    66    1  S    03  3 1  F                5566
DEFANT    66    1  S    03  4 0  F                5576
DEFANT    66    1  S    03  4 1  F                5574
DEFANT    66    1  S    03  5 0  F                5703
DEFANT    66    1  S    03  5 1  F                5701
DEFANT    66    1  S    03  6 0  F                5804
DEFANT    66    1  S    03  6 1  F                5803
DEFANT    66    1  S    03  7 0  F                5826
DEFANT    66    1  S    03  7 1  F                5825
DEFANT    66    1  S    03  8 0  F                5939
DEFANT    66    1  S    03  8 1  F                5937
DEFANT    66    1  S    03  9 0  F                6066
DEFANT    66    1  S    03  9 1  F                6065
DEFANT    66    1  S    03 10 0  F                6212
DEFANT    66    1  S    03 10 1  F                6211
DEFANT    66    1  S    03 11 0  F                6301
DEFANT    66    1  S    03 11 1  F                6301
DEFANT    66    1  S    03 12 0  F                6256
DEFANT    66    1  S    03 12 1  F                6256
DEFANT    66    1  S    03 13 0  F                6331
DEFANT    66    1  S    03 13 1  F                6332
DEFANT    66    1  S    03 14 0  F                6492
DEFANT    66    1  S    03 14 1  F                6493
DEFANT    66    1  S    03 15 0  F                6529
DEFANT    66    1  S    03 15 1  F                6530
DEFANT    66    1  S    03 16 0  F                6495
DEFANT    66    1  S    03 16 1  F                6898
DEFANT    66    1  S    03 17 0  F                6830
DEFANT    66    1  S    03 17 1  F                6831
DEFANT    66    1  S    03 18 0  F                6834
DEFANT    66    1  S    03 18 1  F                6835
DEFANT    66    1  S    03 19 0  F                6870
DEFANT    66    1  S    03 19 1  F                6871
DEFANT    66    1  S    03 20 0  F                6852
DEFANT    66    1  S    03 20 1  F                6853
DEFANT    66    1  S    03 21 0  F                6861
DEFANT    66    1  S    03 21 1  F                6862
DEFANT    66    1  S    03 22 0  F                6817
DEFANT    66    1  S    03 22 1  F                6818
DEFANT    66    1  S    03 23 0  F                6651
DEFANT    66    1  S    03 23 1  F                6651
DEFANT    83    1  S    03  0 0  F                1533
DEFANT    83    1  S    03  0 1  F                1529
DEFANT    83    1  S    03  1 0  F                1529
DEFANT    83    1  S    03  1 1  F                 200
DEFANT    83    1  S    03  2 0  F                 200
DEFANT    83    1  S    03  2 1  F                 200
DEFANT    83    1  S    03  3 0  F                 200
DEFANT    83    1  S    03  3 1  F                 200
DEFANT    83    1  S    03  4 0  F                 200
DEFANT    83    1  S    03  4 1  F                 200
DEFANT    83    1  S    03  5 0  F                 200
DEFANT    83    1  S    03  5 1  F                 200
DEFANT    83    1  S    03  6 0  F                 588
DEFANT    83    1  S    03  6 1  F                 835
DEFANT    83    1  S    03  7 0  F                 836
DEFANT    83    1  S    03  7 1  F                 836
DEFANT    83    1  S    03  8 0  F                 837
DEFANT    83    1  S    03  8 1  F                 837
DEFANT    83    1  S    03  9 0  F                 837
DEFANT    83    1  S    03  9 1  F                 837
DEFANT    83    1  S    03 10 0  F                 837
DEFANT    83    1  S    03 10 1  F                 837
DEFANT    83    1  S    03 11 0  F                 837
DEFANT    83    1  S    03 11 1  F                 837
DEFANT    83    1  S    03 12 0  F                 837
DEFANT    83    1  S    03 12 1  F                 837
DEFANT    83    1  S    03 13 0  F                 837
DEFANT    83    1  S    03 13 1  F                 837
DEFANT    83    1  S    03 14 0  F                 837
DEFANT    83    1  S    03 14 1  F                 837
DEFANT    83    1  S    03 15 0  F                1787
DEFANT    83    1  S    03 15 1  F                1794
DEFANT    83    1  S    03 16 0  F                1797
DEFANT    83    1  S    03 16 1  F                2162
DEFANT    83    1  S    03 17 0  F                2170
DEFANT    83    1  S    03 17 1  F                2178
DEFANT    83    1  S    03 18 0  F                2181
DEFANT    83    1  S    03 18 1  F                2179
DEFANT    83    1  S    03 19 0  F                2177
DEFANT    83    1  S    03 19 1  F                2175
DEFANT    83    1  S    03 20 0  F                2173
DEFANT    83    1  S    03 20 1  F                2171
DEFANT    83    1  S    03 21 0  F                2168
DEFANT    83    1  S    03 21 1  F                2166
DEFANT    83    1  S    03 22 0  F                2164
DEFANT    83    1  S    03 22 1  F                2161
DEFANT    83    1  S    03 23 0  F                2159
DEFANT    83    1  S    03 23 1  F                2157
